ROBIN,FOSTER,3760 36th Avenue NW,Bemidji,MN,56601,TERRY,LOPEZ,4217 12th Street SW,Bemidji,MN,56601,111.093,1,1
RALPH,HUDSON,472 37th Avenue NW,Bemidji,MN,56601,JOAN,PIERCE,4058 11th Avenue NW,Bemidji,MN,56601,185.412,2,1
SHIRLEY,WHITE,401 2nd Avenue NW,Bemidji,MN,56601,BEVERLY,WOOD,3883 13th Street NE,Bemidji,MN,56601,71.4176,2,1
LORI,SULLIVAN,3125 8th Street SW,Bemidji,MN,56601,ANTONIO,HART,3820 8th Street SW,Bemidji,MN,56601,183.963,1,1
HARRY,HARRIS,1522 27th Street SW,Bemidji,MN,56601,ROGER,JACKSON,4690 9th Avenue NE,Bemidji,MN,56601,170.051,1,1
CAROL,MORRIS,1874 21th Street NW,Bemidji,MN,56601,JONATHAN,HAWKINS,3655 4th Street NE,Bemidji,MN,56601,201.919,2,1
JANET,FLORES,1528 13th Street NW,Bemidji,MN,56601,MATTHEW,WOOD,3880 6th Street NW,Bemidji,MN,56601,198.749,2,1
VIRGINIA,HICKS,1916 36th Avenue SE,Bemidji,MN,56601,ERNEST,EDWARDS,3540 14th Street NE,Bemidji,MN,56601,221.279,2,1
FRED,FOSTER,1060 20th Street SW,Bemidji,MN,56601,EUGENE,STEVENS,3306 15th Street SW,Bemidji,MN,56601,200.597,3,1
JOHN,CAMPBELL,1184 2nd Street SE,Bemidji,MN,56601,ROSE,ADAMS,3342 15th Avenue NW,Bemidji,MN,56601,139.662,2,1
HOWARD,MARSHALL,3219 22th Street SW,Bemidji,MN,56601,ROSE,ELLIOTT,3255 16th Street SE,Bemidji,MN,56601,47.5,1,1
LILLIAN,CAMPBELL,1344 4th Street SW,Bemidji,MN,56601,CARLOS,ARMSTRONG,2982 6th Avenue NE,Bemidji,MN,56601,117.22,1,1
ROGER,SIMS,2818 16th Street SW,Bemidji,MN,56601,NANCY,JENKINS,3198 13th Street SE,Bemidji,MN,56601,164.976,3,1
LOUISE,WATKINS,2095 9th Street SE,Bemidji,MN,56601,EDWARD,DAVIS,2994 15th Avenue NW,Bemidji,MN,56601,164.415,1,1
ANNE,BLACK,1883 36th Avenue NW,Bemidji,MN,56601,JACQUELINE,LEWIS,3260 17th Street NW,Bemidji,MN,56601,155.099,1,1
CHRISTINE,PERRY,3706 15th Street SE,Bemidji,MN,56601,ANNE,JOHNSON,3086 17th Avenue NW,Bemidji,MN,56601,285.39,1,1
PETER,DIXON,976 23th Avenue NW,Bemidji,MN,56601,JANET,DIAZ,3299 19th Avenue SW,Bemidji,MN,56601,240.21,3,1
ROSE,WRIGHT,1610 3rd Avenue NE,Bemidji,MN,56601,SEAN,MORGAN,3035 30th Avenue SW,Bemidji,MN,56601,292.744,3,1
JACK,HARRISON,2656 3rd Avenue NE,Bemidji,MN,56601,ALBERT,THOMPSON,3423 22th Street SE,Bemidji,MN,56601,178.246,2,1
RAYMOND,GOMEZ,3693 30th Avenue NW,Bemidji,MN,56601,TODD,WRIGHT,2985 16th Street NE,Bemidji,MN,56601,93.551,2,1
DIANA,MORGAN,1381 16th Street NE,Bemidji,MN,56601,JEREMY,GARDNER,3290 17th Avenue SW,Bemidji,MN,56601,139.367,1,1
CARL,MYERS,2463 40th Avenue NW,Bemidji,MN,56601,ANNIE,YOUNG,1954 40th Street NE,Bemidji,MN,56601,117.413,3,1
REBECCA,WATKINS,804 39th Street SE,Bemidji,MN,56601,JONATHAN,TUCKER,126 24th Street NW,Bemidji,MN,56601,126.828,1,1
DORIS,BARNES,3541 30th Avenue SW,Bemidji,MN,56601,JOE,PHILLIPS,3020 31th Avenue SE,Bemidji,MN,56601,202.112,2,1
JESSICA,STEWART,2945 34th Avenue NW,Bemidji,MN,56601,LOUISE,HARRISON,804 14th Avenue SW,Bemidji,MN,56601,118.226,3,1
JOE,PARKER,1757 2nd Avenue NW,Bemidji,MN,56601,FRANK,OLSON,345 16th Street NE,Bemidji,MN,56601,122.678,2,1
JOYCE,CUNNINGHAM,1871 29th Avenue NW,Bemidji,MN,56601,PHILLIP,MASON,2350 40th Avenue NW,Bemidji,MN,56601,277.896,1,1
ADAM,HICKS,3983 40th Avenue NE,Bemidji,MN,56601,THERESA,BRYANT,2663 16th Avenue NE,Bemidji,MN,56601,210.814,2,1
JACK,KING,364 35th Street NE,Bemidji,MN,56601,MARIE,FRANKLIN,178 8th Avenue SW,Bemidji,MN,56601,117.289,1,1
MARIA,GREENE,1983 Central Ave E,Bemidji,MN,56601,TIMOTHY,COLE,2390 9th Avenue SE,Bemidji,MN,56601,123.373,2,1
DOROTHY,MARTINEZ,612 35th Street SE,Bemidji,MN,56601,DOROTHY,PRICE,2783 7th Street NE,Bemidji,MN,56601,104.92,1,1
WILLIE,COOK,3816 29th Street SE,Bemidji,MN,56601,JULIA,RUSSELL,373 13th Avenue NE,Bemidji,MN,56601,145.674,3,1
KATHY,JAMES,2340 33th Street SW,Bemidji,MN,56601,SANDRA,STEPHENS,2735 21th Street SE,Bemidji,MN,56601,141.685,1,1
PAMELA,MURPHY,3749 11th Avenue NE,Bemidji,MN,56601,JULIA,WILLIS,2854 23th Street SW,Bemidji,MN,56601,201.969,1,1
LOIS,MILLER,3993 26th Avenue SW,Bemidji,MN,56601,JACQUELINE,ANDERSON,2206 37th Street SE,Bemidji,MN,56601,125.286,2,1
RUSSELL,SNYDER,3442 24th Avenue SW,Bemidji,MN,56601,LILLIAN,RIVERA,2601 10th Street SW,Bemidji,MN,56601,42.6835,3,1
DONALD,MOORE,486 34th Street NE,Bemidji,MN,56601,KATHERINE,SNYDER,1882 40th Avenue SW,Bemidji,MN,56601,88.6251,2,1
TINA,SPENCER,2720 38th Street NE,Bemidji,MN,56601,BARBARA,DANIELS,415 31th Avenue NW,Bemidji,MN,56601,233.748,2,1
BONNIE,RICE,1035 23th Avenue SW,Bemidji,MN,56601,JOHN,WOOD,2605 16th Street SW,Bemidji,MN,56601,184.538,3,1
JOHNNY,COLEMAN,3029 27th Street SW,Bemidji,MN,56601,VICTOR,ROBERTS,3327 1st Avenue NW,Bemidji,MN,56601,196.883,2,1
