DENNIS,RODRIGUEZ,998 33th Avenue NW,Bemidji,MN,56601,DENNIS,BAILEY,3652 39th Street SE,Bemidji,MN,56601,76.8679,1,1
ANNA,RICHARDSON,3358 3rd Avenue SE,Bemidji,MN,56601,DIANE,POWELL,4314 36th Street SW,Bemidji,MN,56601,91.3906,1,1
DENNIS,NELSON,421 12th Avenue NE,Bemidji,MN,56601,STEPHEN,WATSON,3885 39th Avenue NW,Bemidji,MN,56601,86.1474,1,1
CARL,MARTINEZ,1445 9th Street NW,Bemidji,MN,56601,JEFFREY,HENDERSON,3153 41th Avenue SW,Bemidji,MN,56601,52.971,1,1
JOYCE,DIAZ,3385 9th Street SW,Bemidji,MN,56601,GREGORY,SANDERS,3533 37th Street NE,Bemidji,MN,56601,61.2034,1,1
GREGORY,MARTIN,2156 38th Avenue NW,Bemidji,MN,56601,KAREN,GRAY,3660 40th Street NW,Bemidji,MN,56601,103.874,2,1
RAYMOND,MITCHELL,3287 Main St N,Bemidji,MN,56601,DAVID,REED,3895 40th Avenue SW,Bemidji,MN,56601,91.4034,1,1
JOHN,MORGAN,3328 40th Avenue NW,Bemidji,MN,56601,JOSEPH,MILLER,3849 39th Street NE,Bemidji,MN,56601,77.6323,1,1
FRANCES,HENDERSON,3046 25th Avenue NW,Bemidji,MN,56601,DONALD,HALL,3571 40th Street SE,Bemidji,MN,56601,109.608,1,1
BRENDA,PRICE,667 19th Street NE,Bemidji,MN,56601,PATRICIA,GREEN,3386 40th Street NE,Bemidji,MN,56601,12.9501,2,1
DANIEL,BARNES,3517 15th Avenue NW,Bemidji,MN,56601,SHARON,EVANS,3308 45th Street SW,Bemidji,MN,56601,62.9649,1,1
SCOTT,ROSS,894 1st Street NE,Bemidji,MN,56601,DEBORAH,WHITE,3495 38th Avenue NE,Bemidji,MN,56601,67.3246,2,1
JAMES,SANCHEZ,556 4th Street SW,Bemidji,MN,56601,BRENDA,SANDERS,3444 42th Avenue SW,Bemidji,MN,56601,76.4608,1,1
STEPHANIE,CLARK,2133 32th Avenue SW,Bemidji,MN,56601,ANN,BARNES,3684 46th Avenue NW,Bemidji,MN,56601,78.9661,1,1
MARIA,RICHARDSON,618 2nd Avenue SW,Bemidji,MN,56601,MARK,WILSON,3763 39th Avenue SE,Bemidji,MN,56601,69.7743,1,1
KEVIN,CAMPBELL,970 Central Ave W,Bemidji,MN,56601,MICHELLE,PRICE,3344 38th Street NW,Bemidji,MN,56601,92.9579,1,1
WILLIAM,RODRIGUEZ,747 35th Street NE,Bemidji,MN,56601,GREGORY,TURNER,3606 40th Street SE,Bemidji,MN,56601,98.0849,2,1
